context,response
im not gonna lie im completley new to xchat,ctrlt to open a new server tab and then type server servercom
'cnk' was the daddy of them all p,what's that
xp,does anyone have the steps to geting an onbord sil 3114 raid to work
how can i install it please give me terminal command,in 1104 mono is already preinstalled
should i install gentoo instead,uhm what
hello,how do i stop the movie player from opening when i use the places menubar
well he is right when there is no encryption on it,good luck with that by the time you cracked my hd i don't work here annymore
whatever you kernel supports unixfs preferred,and grub has to support it too
mmm can anyone tell me why my firefox is closing all the time on its own,aptget install chromium
i think world of warcraft works with either wine or cedega,take a look at this thread and browse the forums httpubuntuforumsorgshowthreadphpt653978
that's systemwide though,or possibly etcbashbashrc
do i don't have to worry about it not working where can i get the installer,ok i'll take a look around for it
there is a programm called kompare that should help you,its the windows version of winmerge if this is familar to you
yes the funny thing is ron999's etcfstab entry does have the 'user' flag on devfd0 wierd,yeah that is odd then
please help is here any saviour for my for help with iptables port redirecting please,local redirect
after installing ubuntu it gives me the loading screen and then i just get diagonal lines,can you altctrlf2 to get to a command line login
nrg2iso,nrg2iso compsman
ubuntuofftopic,hi
i saw that but i was nervous about it since 1110 wasn't listed,found this however httpubuntuforumsorgshowthreadphpt1730361
how do i get firefox to close completely when i get that 'already running' error,mastershrek i believe it's 'killall firefoxbin'
how do i enable my wireless device,how do i unclam
do i need extra repositories for java,no you should find the package called sunjava6plugin in the repositories
does anybody speak german,j ubuntude
is hal gone in lucid,mostly
yes,glxgears printfps
hello,unity or gnome shell which one do you prefer
no,yea
i need to make an iso of my suse and ubuntu disks,gnomebaker will do that
httpwwwdellcomlinux,have you looked at linuxcertified
so i need 'gtk20dev',sudo aptget libgtk20dev
gcc took like seven or eight days to emerge on my gentoo box once that was fun,i wasnt saying that i want to go back there just most of these folks have never been there
perhaps you might ask samba,or sth
why,did you enable universe repos
heh it does get cluttered up doesn't it,if it was crowded at the top it is miserable on the side
sudo service lightdm restart,'edit etcdefaultgrub and set grubhiddentimeout1 ' you see the difference
stretch it,can you suggest any boot cd that can do that
okay here it is httppasteubuntunlorg6862,you are ona mac right
ok ok,if everything is working the way you want it to just stay put
i believe usrlibwin32,i have that working in xine not mplayer do you have a clue
quelqu'un peutil m'aider configurer grub sous ubuntu,si peut etre dans ton interesse de joine ubuntufr
sudo aptget remove vimgtk,man aptget is where the nude pi oh nevermind
where are the themes that come with ubuntu stored they are not in themes,usrsharethemes
hey,hey guys can u tell me how to enable sendto option in ubuntu like windows
is it possible to use the 'tv out' on the graphic card under ubuntu,which card
so if i do aptget install eclipse i get version 370,check md5sum of the zip beforeafter sendingloading tofrom dropbox
installed ubuntu on this laptop dvd wont read,did you do systemadministrationhardware drivers
with synaptic,please try using comma ok
transmission or deluge,transmission or delugetorrent
yes if you want to use ubuntu use dualboot or a vm,sounds good
do i have to reboot ubuntu so the multiverse think is taken in account,no 'sudo aptget update'
hey how do i configure ubuntu to boot up without launching x,change id5initdefault to id3initdefault in etcinittab
how do i navigate to a folder using the terminal,so cd desktop
i got ubuntu 606 and i want to upgrade it to 704 by cd any howto,and by gksu
zeitgeist,thanks
you don't need headers to run a compiled kernel,yes i know but the virtual box needs the headers
precise1204 is not yet released now beta please join ubuntu1 for further support and discussion,thanks
serious software developers don't use ubuntu i call bogus on hoonteke,is a shebang
can the bootloader ummm i mean the grub2 be created on the c drive or drive zero,if so how
i am using ntfs3g daily,no problems so far been using it daily for about two months now
firefox keeps dying on me and i wanna download newest ubuntu,use wget
how to see all of my partitions,df h
i think there is at least some hfs support yes,true
good morning,morning
what is this keyboard shortcut when written in the menu like cx h,ctrlx then h i think
i heard somebody needed latex help i am latex help if latex isn't helping,it was me but i was able to fix my problem already with some jarring of my memory by flannel
is there an easy command to remove ppa repos the opposite of aptaddrepository,thanks
ie is the disk sata or pata or usb,take a look at this package smartmontools
i just installed wine on edgy and now what do i do to use it,double click an exe
boot from the disk if u already have ubutu installed,yeah i have but home always be in use
echo varible or 'env',noone gave you any information for a script
the kernel's net filtering is more efficient than tcp wrappers,ie iptables but is there anything as lowmaintenance as denyhosts
stupid question but how do i have the volume icon by the clock in ubuntu,classic or unity
how con i chat with msn messenger,use gaim
does aptget unarchive an application or try to download it,both
does anyone know how to install the emu10k1 alsa driver things,'modprobe l grep emu10k1' will tell you if you have it
try pressing ctrlaltnumpad or numpad,i assume you are talking about the livecd
i am using an amd64 hardy heron iso imageis this appropriate for my core duo dell laptop,or should i be using a 32bit image
gksudo,yes sorry
hi,how can i update ubuntu 704 feisty to 710 gusty
httpubuntuforumsorgarchiveindexphpt76387html,thanks i'll take a look on it
like i said earlier i got tvtime working but with no sound and bad picture quality,pretty well in ubuntu from what i've heard on the linuxactionshow podcast
what alternatives to sunjavajre are there,gij jikes and a few others that i can't remember off hand
hey i just installed archlinux i'm now doing running speakertest but how do i stop this program,how to stop speakertest
ok thankyou,cumputeruser and group
i have 64 bit pc but will that cause problems with soundvideowlan and games,maybe there needs to be some kind of survey about it
hi is it possible to prevent users from seeing others processes with top and ps how so,probably by changing the groups they belong to
hi all,does anyone here know how to uninstall programs
on ubuntu 610 edgy does vlc supports mkv matroska files by default,try googling 'vlc mkv'
jetscreamer im getting invalid operation when i do sudo aptget nvidiasettings,sudo aptget install nvidiasettings
you can get binary to install jvmjre from sun's site,aitrus ok but doesnt ubuntu have it in its package repositories
wired,how do you think im on now telepathic
any one familiar with ltsp 50 with the new edgy eft,what is ltsp
windows just needs those things because it's full of holes and a lot of hackers hate microsoft,it's not 100 just 99999995
alright i'll go with what's more popular then thanks,ext3 has less issues with fragmentation and performance degradation over time
yes there is,it allows you to fix mistaks using root in the command line
yes i've noticed but this time it was more annoying than usually it's not like guys are born to linux,of course
could use some advice on handlilng gcc version conflict in dapper,what conflict
what is the terminal command for move i know cp is copy,mv
watch the language,sorry
use gaim,via synaptic like every program
friday try both for a week you will have a good chance to evaluate both then,i think he means default application for viewing
is that bad for glgear,glxgears is not a benchmark
how do i know my ip,wwwwhatismyipcom
easyubuntu,how do i change which browser opens when i click a link in xchatgnome
i've always used kubuntu i switched to ubuntu just recently because i heared that stupid canonical dropped support for kubuntu,you can go back support is provided by emergebluesystems
for n in awk 'az print 1' etcservices do ps ef grep ngrep v grep done,was that an ubuntu question
hello,can anyone read this
where does apt place the eggdrop files,type 'dpkg l eggdrop'
can ubuntu get me more girls,no no no it might scare them p
dont do that,what
thanks stormx2,btw the best way to remove installed programs is with purge
soundraywhere might i find the bug reports,er bugsubuntucom
ask that what is ' irc ',internet relay chat ubuntu is an irc channel chat room
lol,well anywaysvery common question but here it goes whats the best itunes replacement on ubuntu
hey guys were dose ubuntu store its install binarys,like for your programs
quick quistion,what is it
msg nickserv identify privet74,time to change your password we all just saw that sir
how do i get 'make' working in ubuntu,install buildessential
does anyone know the file in ubuntu to define what modules are loaded at boot,well the installer loaded asusacpi on my dell and this make the system freeze at times
please don't flood use httppasteubuntucom to paste don't use enter as punctuation,please don't flood use httppasteubuntucom to paste don't use enter as punctuation
anyone know where the terminal app is in kubuntu,konsole
can i get some attention please,try fixmbr from windows xp cd
hi,sars
i had all kinds of issues getting my xorgconf to work properly with my rage card,is your xorgconf copied over from a previous install
my dvd writer doesnt read the dvd,which dvd
to check the of installed packages,dpkg l awk 'print 1' grep c ii
why i can't use su,thanks idleone
question what r tools for proess check other than ptree pman any1,the ps command it has lots of options see the manual page for example ps axuww
how do i upgrade skype 20 to 20013,i loaded the deb manualy on skypecom
guys what will happend to ubuntu after 2099 will be next release named 1004 and what after 2999,they'll have run out of awesome alliterative animals anyway by then so why not an entirely new versioning scheme
it's free just order them,afaik yes check the web page for details tho
does anybody know of a way to have the rightclick menu's on gnomelike on fluxbox and xfce,kde has an option for this but i haven't found it in gnome yet
in fact i cant access grub,because grub got overwritten
quick question whicj kernel should i be using with an amd 2400 xp i386 i686 or k7,you'd prolly wanna be using k7 that is for x86 amd processors
is there a website for setting ubuntu up to run on a powerpc,i tried google but a lot of the results are several years old
hmm i've always done it right,so where do you want to install iti mean which drive
iam trying to edit my resolvconf file in etc i need to figure out my nameserver for my ip,i did ifconfig a that did not display
ati dieter,is there a command that will let me see what packages a specified package depends on
wylde what are you guys trying to repair,wylde wait wait wait are you on a laptop
is that kinda strange,you have a very varied network
i've tried to boot from usb with no luck is there a way to run the iso from within ubuntu,what client
like the temporary internet files in windows is there one in ubuntu,mozillafirefoxprofiledefaultcache
can um like someone help me my box woe not turn on,oh btw blix you can find out all about slackware in slackware
hi,hi any single woman
vista,type 'join windows'
yes just download it from adobecom,its pretty easy just download hte tar file and follow th einstructions
yessir i did,i haven't installed it on my machine so sorry no further help
i'm an op in this channel,you're invited
it's suppaman,indeed it is
what is this religious thingie about sudo around here,is it that bad to open the rootaccount
no one here knows how to report a bug on launchpad with out the use of 'ubuntubug',i don't remember it took me forever to figure out
i did ifconfig a that did not display,if you use dhcp your nameservers will be in etcresolvconf you could use google's dns which is 8888
not even sure it's a pci card,hello
i guess i am the only peson that likes clean clear easy to readuse themes,in osx at least they made up things like dashboard and expose to make things easier
i just use kubuntu cuz its debian 34 kde,and you dont use freebsd
eh did i just get kicked,please change your attitude
will ubuntu 510 include gnome 212,it does
how do i get ubuntu 6 to work on a acer aspire 1692 wlmi,what doesn't work
whats the root password set to,use your onw pass
can i use debian packages in ubuntu,or is that a nono
i'm thinking of making the switch from fedora to ubuntu,good call
why card exactly,geforce4 mx on board graphics
ctrlalt f17 will get you to the tty,ah
no one knows about my problem,when i tried booting from the live cd this happens httpi412photobucketcomalbumspp205none0x04errorjpg anyone know why
no nvidia geforce3 go,all localhost taffic should be allowed
anyone know javascript looking for a url that is a good resource of info on the topic,httpwwww3schoolscomjsdefaultasp
hey everyone,can someone help me
dear helpplz make a boot partition of 100m swap 256512m and the rest you can leave for,hmm thanks mate
because the channel output is mute,there's two volume controls for microphone input and two for linein
my bandwidth slows when i fush my toilet,get a bigger pipe
is find caseinsensitive,find directory name 'filename'
is there a libdvdcss2 package available for amd64,how do i rip wavs as mp3s
j channelname but it depends in the way your irc client manages it,thanx
who has installed opensuse,tell me please
hello,can anyone see me typing
which media pplayer is good,anyone knows a good media player
right click on the desktop set desktop background,what's a good nes emulator
ummm you can't,yeah switch10 has the idea net install
ubuntu1 for hardy questions thanks,k thanks
use putty,thats putty that does ssh
istarnes maybe i used the wrong phrase then i am looking to insert a new line inplace,istarnes yeah because the entire document is on one line and it is almost impossible to view
conky channel helps well,dont be sorry
pulseaudio is also horribly broken at least in gg,my upgrade from gg 2 hh didn't help my audio a clean install fixed it
i am trying to install gnucash1811 and cant,hi
kriswood formated in ntfs,one is another is fat32
granted different tools for different people,how did you install it if you used the package manager you can seewhat files the package installed
i did the distupgrade,you weren't supposed to do the distupgrade
could anyone tell me how to install the nvidia driver without having access to the graphical interface,sudo aptget install nvidiakernelcommon nvidiaglx then change 'nv' to in xorgconf
hello,do the geforce fx series of gpu work with linux
format and pop the disc in,the installer walks you through the partitioning
exsqw,he's on pico p
understood,just trying to make life easier for others
that error message means you are trying to use a java 5 class with java 14,or possibly java 6 class with java 5
what's wrong with the bittorrent gui,there is a linux flavor
which one is your boot drive,oh boyhow do i find the name of that i know it is called 84 gb media in nautilus
are u the guy that write the website,i think so nvm
what is a good archive manager that supports rar,7zip works for linux
virgoftp,you need a server or a client
pidgin,this is a english channel
httpkubuntupastebincom766349,i am not sure as i don't have that package looks like it might be a dependency problem
to se the details of a package use 'aptcache show packagename',thankx
will ubuntu support ati hd4890,why wouldn't it
anyone familiar with kubuntu,yes use 3kubuntu
so there is a 32bit right,yes of course
dependson the size of the file mostly,everything
the vancouver proposal,switching from 11 to 4 official archs
sounds good,i got hinted by that bugreport anyway i'm off now
lsmod might be what you want,thanks
that'll delete the whole homefolder,then your command wasn't dangerous after all sorry
im on irc on another computer,because you forgot to pay the internet bill
'gparted is not part of the default install',are you referring to ubuntu
sound ir2,that only solves the irc bot
can u post the lspci output to pastebin,open up a terminal type lspci and copy paste the resulting text to pastebin
i'm trying to install ubuntu server but it keeps trying to go gui and my monitor won't display that resolution,how can i force into text mode
defrag pvl1,when you use use aptget never use the '' in it its a quick way to break your system
hey,anyone from california
sure welcome ask away,lol nice app
what can i use to burn isos,i'm in xubuntu
who is the troll,netwizz
done about 100 times works,hmm good news
where can i download dvd images of the buntu iso's,cdimageubuntucom
not true sshd is not installed by default,oh yeah sorry
anyone have any ides for a good ide for c,r u on ubuntu or win
how i do to desintall a program in ubuntu,applications addremove
how can i write dmesg output to a file,dmsg fileboring
he mentioned it on the ubuntuunreg before he finally got into this channel,thanks i was confused how you knew that
in ubuntu 804 pulse audio replaces alsa sound server,it does
yes,thanks makes my life easier and i can sleep with comfort gotta rehost my website liquenox is crap
does anything look wrong with this command cp r mediasda2docsmy musicmp3 mediasda2zvm,aye
if my pc has a mp3 share of servermymusic how do i connect to in in ubuntu,smb in yast
regular ubuntu 32bit should work on that system as long as you have enough ram,you may want to check out xubuntu though
install buildessential,then you need to fix your sources list
evince should do it,thanks
it consumes more memory more cpu has mainly crappy drivers and you actually expect it to perform be tter,no that's my point too
is the ubuntu1010 version better than 1004,sipior
does the 26 kernel dual boot issue with windows exist in ubuntu,i had no problems when dualbooting
gpm,thank you
so nobody knows why i get that problem,httppasteubuntucom1061593
my ubuntu freezes repeatedly is 910 up from 904 32 bit amd no fancy stuff use xchat ff chrome transmission,please help
argh why wont ubuntu let me see my shared folders,hmmm
how does one control synaptics in ubuntu,how do you mean
if xorgconf exists it will honor the settings there otherwise it will attempt to detect automagically,docteh i thought hal or soemthing like that was sposed to handle that these days
what's the ubuntu advantage logo,it looks like a lambda with knees
who would be the best person to talk to on video card driver issues,who would be the best person to talk to on video card driver issues anyone
sorry,irc conn went bad
voodoo uses 3dfx not opengl,the default installation added all of this glx mess to my xorg
